1`(1, 0.5, 9.86, 28.26, (50.0, []), 0, 0)++
1`(48, 0.5, 42.15, 5.91, (50.0, []), 0, 0)++
1`(49, 0.5, 14.61, 16.28, (50.0, []), 0, 0)++
1`(50, 0.5, 37.19, 31.02, (50.0, []), 0, 0)++
1`(51, 0.5, 25.71, 31.15, (50.0, []), 0, 0)++
1`(52, 0.5, 7.21, 32.6, (50.0, []), 0, 0)++
1`(53, 0.5, 21.69, 2.54, (50.0, []), 0, 0)++
1`(54, 0.5, 21.97, 17.1, (50.0, []), 0, 0)++
1`(55, 0.5, 24.77, 39.3, (50.0, []), 0, 0)++
1`(56, 0.5, 31.6, 6.05, (50.0, []), 0, 0)++
1`(57, 0.5, 48.43, 29.59, (50.0, []), 0, 0)++
1`(58, 0.5, 8.42, 45.61, (50.0, []), 0, 0)++
1`(59, 0.5, 44.98, 49.51, (50.0, []), 0, 0)++
1`(60, 0.5, 13.75, 41.79, (50.0, []), 0, 0)++
1`(61, 0.5, 10.77, 45.47, (50.0, []), 0, 0)++
1`(62, 0.5, 34.05, 1.13, (50.0, []), 0, 0)++
1`(63, 0.5, 12.63, 16.46, (50.0, []), 0, 0)++
1`(64, 0.5, 47.08, 27.53, (50.0, []), 0, 0)++
1`(65, 0.5, 46.71, 1.79, (50.0, []), 0, 0)++
1`(66, 0.5, 7.99, 21.16, (50.0, []), 0, 0)++
1`(67, 0.5, 30.31, 34.63, (50.0, []), 0, 0)++
1`(68, 0.5, 44.5, 22.82, (50.0, []), 0, 0)++
1`(69, 0.5, 19.36, 2.18, (50.0, []), 0, 0)++
1`(70, 0.5, 41.48, 8.24, (50.0, []), 0, 0)++
1`(71, 0.5, 17.77, 2.51, (50.0, []), 0, 0)++
1`(72, 0.5, 5.73, 48.34, (50.0, []), 0, 0)++
1`(73, 0.5, 1.46, 21.49, (50.0, []), 0, 0)++
1`(74, 0.5, 35.19, 28.39, (50.0, []), 0, 0)++
1`(75, 0.5, 13.01, 18.1, (50.0, []), 0, 0)++
1`(76, 0.5, 30.91, 46.75, (50.0, []), 0, 0)++
1`(77, 0.5, 34.79, 0.25, (50.0, []), 0, 0)++
1`(78, 0.5, 4.13, 40.9, (50.0, []), 0, 0)++
1`(79, 0.5, 46.49, 22.18, (50.0, []), 0, 0)++
1`(80, 0.5, 38.4, 36.96, (50.0, []), 0, 0)++
1`(81, 0.5, 15.58, 8.74, (50.0, []), 0, 0)++
1`(82, 0.5, 8.37, 31.64, (50.0, []), 0, 0)++
1`(83, 0.5, 21.34, 32.75, (50.0, []), 0, 0)++
1`(84, 0.5, 19.02, 26.25, (50.0, []), 0, 0)++
1`(85, 0.5, 26.83, 8.96, (50.0, []), 0, 0)++
1`(86, 0.5, 6.57, 36.66, (50.0, []), 0, 0)++
1`(87, 0.5, 9.26, 25.31, (50.0, []), 0, 0)++
1`(88, 0.5, 5.76, 42.46, (50.0, []), 0, 0)++
1`(89, 0.5, 2.09, 45.75, (50.0, []), 0, 0)++
1`(90, 0.5, 0.16, 32.66, (50.0, []), 0, 0)++
1`(91, 0.5, 38.36, 17.17, (50.0, []), 0, 0)++
1`(92, 0.5, 42.57, 33.39, (50.0, []), 0, 0)++
1`(93, 0.5, 15.54, 22.0, (50.0, []), 0, 0)++
1`(94, 0.5, 39.06, 8.9, (50.0, []), 0, 0)++
1`(95, 0.5, 20.5, 5.03, (50.0, []), 0, 0)++
1`(96, 0.5, 46.01, 5.51, (50.0, []), 0, 0)++
1`(97, 0.5, 49.51, 26.04, (50.0, []), 0, 0)++
1`(98, 0.5, 33.51, 39.6, (50.0, []), 0, 0)++
1`(99, 0.5, 40.47, 0.28, (50.0, []), 0, 0)++
1`(100, 0.5, 1.65, 9.38, (50.0, []), 0, 0)
